city,value
Adana,17242
Adıyaman,5867
Afyonkarahisar,6090
Ağrı,5387
Amasya,2359
Ankara,35498
Antalya,16366
Artvin,1086
Aydın,7748
Balıkesir,8246
Bilecik,1308
Bingöl,2161
Bitlis,2674
Bolu,1773
Burdur,1630
Bursa,19776
Çanakkale,3145
Çankırı,1366
Çorum,4383
Denizli,7206
Diyarbakır,12953
Edirne,2703
Elazığ,4595
Erzincan,1540
Erzurum,6418
Eskişehir,5731
Gaziantep,16520
Giresun,2832
Gümüşhane,932
Hakkari,1729
Hatay,13212
Isparta,2985
Mersin,13847
İstanbul,105860
İzmir,31756
Kars,2612
Kastamonu,2357
Kayseri,10077
Kırklareli,2208
Kırşehir,2032
Kocaeli,12156
Konya,16857
Kütahya,4048
Malatya,5958
Manisa,10430
Kahramanmaraş,9286
Mardin,6652
Muğla,6222
Muş,3599
Nevşehir,2527
Niğde,3047
Ordu,5142
Rize,2170
Sakarya,6751
Samsun,9630
Siirt,2322
Sinop,1523
Sivas,5016
Tekirdağ,5915
Tokat,4763
Trabzon,5335
Tunceli,574
Şanlıurfa,16451
Uşak,2632
Van,9014
Yozgat,4507
Zonguldak,4950
Aksaray,3914
Bayburt,608
Karaman,1827
Kırıkkale,2411
Batman,3799
Şırnak,3240
Bartın,1392
Ardahan,894
Iğdır,1749
Yalova,1512
Karabük,1534
Kilis,1282
Osmaniye,4282
Düzce,2644
