city,value
Adana,4951
Adıyaman,623
Afyonkarahisar,1211
Ağrı,258
Amasya,448
Ankara,13399
Antalya,7167
Artvin,216
Aydın,2789
Balıkesir,2986
Bilecik,363
Bingöl,160
Bitlis,129
Bolu,530
Burdur,448
Bursa,5977
Çanakkale,1079
Çankırı,257
Çorum,895
Denizli,2615
Diyarbakır,1248
Edirne,846
Elazığ,771
Erzincan,345
Erzurum,632
Eskişehir,2053
Gaziantep,3215
Giresun,717
Gümüşhane,101
Hakkari,70
Hatay,2942
Isparta,784
Mersin,4435
İstanbul,32836
İzmir,12900
Kars,195
Kastamonu,457
Kayseri,2625
Kırklareli,735
Kırşehir,425
Kocaeli,4227
Konya,3862
Kütahya,941
Malatya,1354
Manisa,2931
Kahramanmaraş,2093
Mardin,452
Muğla,2661
Muş,136
Nevşehir,572
Niğde,516
Ordu,1035
Rize,346
Sakarya,1844
Samsun,2272
Siirt,109
Sinop,406
Sivas,871
Tekirdağ,2461
Tokat,834
Trabzon,832
Tunceli,143
Şanlıurfa,1451
Uşak,871
Van,588
Yozgat,595
Zonguldak,1228
Aksaray,811
Bayburt,60
Karaman,617
Kırıkkale,595
Batman,279
Şırnak,185
Bartın,382
Ardahan,78
Iğdır,256
Yalova,561
Karabük,472
Kilis,185
Osmaniye,891
Düzce,751
